,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,richards bay,90,US,1569909197,93,46.84,-95.91,46.4,12.75
1,cape town,0,CL,1569909197,100,-36.41,-71.9,39.2,4.7
2,haicheng,0,CN,1569909198,37,40.85,122.74,84.29,14.18
3,punta arenas,75,PH,1569909199,74,14.18,121.12,89.01,13.87
4,norman wells,1,US,1569909087,74,35.22,-97.44,79.0,16.11
5,vostok,12,RU,1569909200,59,46.45,135.83,70.97,5.46
6,bluff,25,AU,1569909200,22,-23.58,149.07,86.81,3.02
7,broome,75,GB,1569909200,100,52.47,1.45,59.0,10.29
8,rikitea,53,PF,1569909201,81,-23.12,-134.97,68.99,14.65
9,sabha,0,LY,1569909201,44,27.03,14.43,72.95,6.11
10,jalu,0,LY,1569909201,71,29.03,21.55,71.33,11.16
11,kodiak,1,US,1569909201,83,39.95,-94.76,78.8,6.93
12,cherskiy,95,RU,1569909202,88,68.75,161.3,27.59,11.14
13,nabire,94,ID,1569909202,88,-3.36,135.5,77.63,1.25
14,mataura,97,NZ,1569909202,69,-46.19,168.86,48.0,5.01
15,ushuaia,90,AR,1569909203,80,-54.81,-68.31,33.8,16.11
16,phangnga,20,TH,1569909203,62,8.45,98.53,93.2,10.29
17,albany,90,US,1569908918,82,42.65,-73.75,61.0,14.99
18,jackson,90,US,1569909204,100,43.48,-110.76,30.99,3.56
19,novopavlovka,75,KG,1569909204,71,42.87,74.49,55.4,2.24
20,arraial do cabo,0,BR,1569909204,77,-22.84,-46.65,62.6,18.34
21,xiazhen,75,TW,1569909205,55,23.89,120.95,89.01,13.87
22,maumere,0,ID,1569909205,60,-8.63,122.22,82.13,6.78
23,kulhudhuffushi,94,MV,1569909205,71,6.62,73.07,83.21,11.86
24,hobart,20,AU,1569909064,41,-42.88,147.33,61.0,10.29
25,portland,90,US,1569909182,76,43.66,-70.25,55.0,4.7
26,bhadra,61,IN,1569909206,42,29.1,75.17,89.87,5.59
27,hilo,75,US,1569909207,74,19.71,-155.08,78.8,15.77
28,rawson,0,AR,1569909208,33,-43.3,-65.11,43.43,20.18
29,lebu,75,ET,1569909090,87,8.96,38.73,60.8,2.24
30,abu zabad,75,JP,1569909209,78,34.51,131.49,84.0,3.36
31,birjand,20,IR,1569909209,13,32.86,59.22,78.8,11.99
32,busselton,0,AU,1569909209,34,-33.64,115.35,71.01,4.9
33,kurilsk,70,RU,1569909209,93,45.23,147.88,58.37,13.13
34,khrebtovaya,96,RU,1569909210,77,56.71,104.25,36.77,9.84
35,codrington,30,AU,1569909210,49,-28.95,153.24,69.8,13.87
36,atuona,54,PF,1569909210,76,-9.8,-139.03,79.25,15.79
37,hambantota,75,LK,1569909211,74,6.12,81.12,86.0,3.36
38,chengde,0,CN,1569909211,34,40.97,117.93,79.79,15.77
39,paita,98,PE,1569909211,92,-5.09,-81.11,63.95,15.08
40,tulun,60,RU,1569909212,52,54.56,100.58,42.17,8.9
41,narsaq,52,GL,1569909212,27,60.91,-46.05,51.8,25.28
42,sangar,100,RU,1569909213,94,63.92,127.47,32.81,6.51
43,hamamatsu,20,JP,1569909213,51,34.71,137.73,86.0,9.17
44,pisco,90,PE,1569909213,88,-13.71,-76.2,63.0,11.41
45,dokka,31,NO,1569909214,93,60.83,10.07,34.0,1.01
46,nanortalik,91,GL,1569909089,60,60.14,-45.24,41.09,7.45
47,longyearbyen,40,NO,1569909214,68,78.22,15.63,28.4,13.87
48,tasiilaq,78,GL,1569909100,86,65.61,-37.64,33.8,5.82
49,mildura,0,AU,1569909215,8,-34.18,142.16,79.0,5.82
50,saint-philippe,90,CA,1569909140,100,45.36,-73.48,48.99,9.17
51,jamestown,0,AU,1569909075,25,-33.21,138.6,80.87,9.35
52,sargatskoye,82,RU,1569909216,73,55.6,73.49,45.95,11.14
53,khilok,100,RU,1569909216,48,51.36,110.46,41.09,10.56
54,tuatapere,100,NZ,1569909092,69,-46.13,167.69,48.0,5.01
55,sao filipe,64,IN,1569909216,63,20.51,76.21,82.85,8.25
56,puerto escondido,75,AR,1569909217,80,-51.62,-69.23,33.8,10.29
57,goderich,3,CA,1569909217,87,43.74,-81.71,72.0,1.99
58,hithadhoo,62,MV,1569909217,78,-0.6,73.08,82.31,15.23
59,luena,48,AO,1569909218,62,-11.78,19.91,68.63,4.09
60,christchurch,0,NZ,1569908994,57,-43.53,172.64,48.99,8.05
61,kapaa,75,US,1569908926,78,22.08,-159.32,80.6,12.75
62,boke,3,GN,1569909219,96,10.95,-14.28,72.23,3.38
63,homer,90,US,1569909219,76,59.64,-151.54,50.0,13.87
64,pangody,100,RU,1569909219,97,65.85,74.49,36.05,11.43
65,ostrovnoy,100,RU,1569909219,97,68.05,39.51,40.73,12.84
66,qaanaaq,100,GL,1569909220,96,77.48,-69.36,34.43,10.67
67,mangrol,75,IN,1569909220,70,25.33,76.51,84.2,2.24
68,juneau,90,US,1569909220,93,58.3,-134.42,46.99,18.34
69,chantada,75,ES,1569909221,93,42.61,-7.77,62.01,5.82
70,abha,20,SA,1569909221,42,18.22,42.5,71.6,4.7
71,ngunguru,51,NZ,1569909221,80,-35.62,174.5,50.0,8.01
72,eureka,1,US,1569908952,100,40.8,-124.16,46.99,5.82
73,heze,61,CN,1569909222,30,35.25,115.45,87.71,7.63
74,nikolskoye,90,RU,1569909222,93,59.7,30.79,53.01,6.71
75,mys shmidta,99,RU,1569909223,96,62.06,48.62,47.03,7.2
76,barrow,92,AR,1569909223,56,-38.31,-60.23,46.49,7.38
77,kruisfontein,11,ZA,1569909223,67,-34.0,24.73,57.29,10.63
78,bethel,75,US,1569909224,75,60.79,-161.76,46.4,9.17
79,shenjiamen,100,CN,1569909224,93,29.96,122.3,73.85,48.79
80,berlevag,75,NO,1569908988,86,70.86,29.09,42.8,24.16
81,mahebourg,75,MU,1569909126,83,-20.41,57.7,78.01,17.22
82,college,20,US,1569909225,93,64.86,-147.8,42.8,1.32
83,yellowknife,75,CA,1569909225,86,62.45,-114.38,39.2,6.93
84,hermanus,0,ZA,1569909225,91,-34.42,19.24,59.0,1.99
85,letlhakane,0,BW,1569909226,26,-21.42,25.59,66.11,16.55
86,camacha,40,PT,1569909226,68,33.08,-16.33,69.8,8.05
87,bredasdorp,0,ZA,1569909226,93,-34.53,20.04,55.0,2.24
88,kaitangata,80,NZ,1569909227,55,-46.28,169.85,48.0,11.01
89,glasgow,100,GB,1569909047,70,55.86,-4.24,46.4,13.87
90,puerto ayora,75,AR,1569909227,80,-51.62,-69.23,33.8,10.29
91,castro,20,CL,1569909227,94,-42.48,-73.76,32.0,2.35
92,katsuura,75,JP,1569909153,83,33.93,134.5,87.01,11.41
93,makkaveyevo,20,RU,1569909228,37,51.75,113.95,55.4,8.95
94,ponta do sol,67,BR,1569909228,96,-0.53,-65.05,72.77,0.51
95,bambous virieux,75,MU,1569909229,83,-20.26,57.41,78.01,17.22
96,ketchikan,20,US,1569909229,87,55.34,-131.65,50.0,9.17
97,lukovetskiy,90,RU,1569909229,100,64.29,41.92,48.2,4.47
98,touros,20,BR,1569909229,100,-5.2,-35.46,71.6,4.7
99,guerrero negro,53,AR,1569909230,23,-24.19,-65.45,60.35,7.0
100,vestmanna,95,FO,1569909230,80,62.16,-7.17,41.0,19.46
101,fortuna,1,US,1569909230,100,40.6,-124.16,46.99,5.82
102,sao joao da barra,64,IN,1569909231,63,20.51,76.21,82.85,8.25
103,nacala,18,MZ,1569909231,61,-14.56,40.69,85.37,11.34
104,beian,75,NO,1569909231,93,63.66,9.57,37.99,13.87
105,gejiu,33,CN,1569909232,60,23.36,103.16,73.85,8.23
106,sola,80,TZ,1569909232,48,-3.17,33.8,79.07,2.91
107,saskylakh,97,RU,1569909232,89,71.97,114.09,29.57,10.6
108,ilulissat,63,GL,1569909233,51,69.22,-51.1,37.4,3.36
109,nizhniy odes,0,RU,1569909233,77,45.39,39.24,66.99,6.71
110,bilma,1,NE,1569909088,18,18.69,12.92,83.57,14.45
111,goalpara,84,IN,1569909234,80,26.18,90.62,80.15,9.53
112,quirinopolis,0,BR,1569909234,35,-18.45,-50.45,74.21,3.04
113,zhezkazgan,0,KZ,1569909234,28,47.8,67.71,46.4,15.66
114,east london,100,UG,1569909234,82,3.43,31.7,73.49,1.5
115,gananoque,90,CA,1569909235,93,44.33,-76.16,61.0,4.7
116,kotma,88,IN,1569909235,65,23.2,81.98,83.75,6.24
117,durant,1,US,1569909054,69,33.99,-96.37,82.4,4.7
118,lorengau,98,PG,1569909236,76,-2.02,147.27,83.03,6.78
119,ust-maya,100,RU,1569909236,63,60.42,134.54,40.91,2.75
120,port elizabeth,82,CD,1569909236,88,-7.04,29.76,64.31,2.98
121,komsomolskiy,100,RU,1569909237,86,67.55,63.78,35.51,9.44
122,marystown,10,CA,1569909237,74,47.17,-55.16,40.37,13.06
123,exeter,20,GB,1569909237,93,50.73,-3.53,61.0,9.17
124,butaritari,18,KI,1569909238,59,3.07,172.79,85.37,5.46
125,yerbogachen,90,RU,1569909238,49,61.28,108.01,37.31,9.69
126,upata,70,VE,1569909238,85,8.02,-62.41,80.01,1.99
127,klaksvik,99,FO,1569909239,80,62.23,-6.59,41.0,19.46
128,avarua,79,CK,1569909103,68,-21.21,-159.78,71.6,8.05
129,karakol,79,KG,1569909239,53,42.49,78.39,55.67,7.61
130,kloulklubed,75,PW,1569909239,66,7.04,134.26,87.8,5.82
131,weiser,90,US,1569909240,57,44.25,-116.97,48.2,16.11
132,vagay,63,RU,1569909240,72,57.94,69.02,44.51,11.07
133,stepnyak,13,KZ,1569909240,55,52.83,70.79,44.15,7.34
134,kaeo,40,NZ,1569909241,80,-35.1,173.78,50.0,8.01
135,luderitz,0,NA,1569909241,62,-26.65,15.16,57.2,4.7
136,brae,20,GB,1569909241,81,60.4,-1.35,44.6,14.99
137,pevek,97,RU,1569909242,77,69.7,170.27,31.73,3.91
138,kapenguria,26,KE,1569909242,62,1.25,35.09,72.05,0.67
139,clyde river,57,NZ,1569909242,70,-45.19,169.32,44.01,4.88
140,tuktoyaktuk,40,CA,1569909242,87,69.44,-133.03,42.8,19.46
141,port hawkesbury,82,CD,1569909243,88,-7.04,29.76,64.31,2.98
142,talara,99,PE,1569909243,90,-4.58,-81.27,65.39,19.91
143,souillac,90,FR,1569909243,100,45.6,-0.6,60.01,2.24
144,tiquisate,100,GT,1569909244,99,14.29,-91.37,52.0,5.17
145,hofn,0,IS,1569909245,78,64.25,-15.21,23.81,10.47
146,kiama,20,AU,1569909245,56,-34.67,150.86,68.0,16.11
147,denpasar,20,ID,1569908963,70,-8.65,115.22,84.2,13.87
148,kununurra,40,AU,1569909245,21,-15.77,128.74,102.2,12.75
149,mandera,35,ET,1569909246,54,3.94,41.86,83.57,8.66
150,donskoye,0,RU,1569909246,52,45.45,41.98,66.2,8.95
151,thompson,90,CA,1569909246,64,55.74,-97.86,33.8,3.36
152,lianzhou,0,CN,1569909246,27,24.79,112.38,88.07,3.15
153,nishihara,40,JP,1569909247,65,35.74,139.53,90.0,4.7
154,luau,100,CD,1569909247,63,-10.7,22.23,75.11,2.13
155,huarmey,98,PE,1569909247,94,-10.07,-78.15,61.43,11.9
156,vaini,40,IN,1569909089,61,15.34,74.49,80.6,2.84
157,honningsvag,75,NO,1569909248,80,70.98,25.97,41.0,17.22
158,vao,90,EE,1569909248,79,59.1,26.19,45.41,17.6
159,grand river south east,90,FR,1569909249,82,48.39,5.49,60.8,11.41
160,inuvik,40,CA,1569909249,74,68.36,-133.71,46.4,11.41
161,kargasok,100,RU,1569909249,94,59.06,80.87,38.57,8.79
162,dingle,67,PH,1569909220,71,11.0,122.67,85.55,5.19
163,ocos,75,GT,1569909250,100,14.51,-92.19,78.8,10.0
164,manicore,76,BR,1569909250,75,-5.81,-61.3,75.65,1.92
165,airai,3,TL,1569909250,56,-8.93,125.41,83.21,7.83
166,mecca,0,SA,1569909142,39,21.43,39.83,90.77,1.88
167,ito,20,JP,1569909251,61,34.93,139.09,89.01,11.41
168,torbay,90,CA,1569909251,87,47.66,-52.73,44.01,18.34
169,ballina,75,IE,1569909252,100,54.11,-9.15,53.01,11.41
170,mackay,1,CA,1569909252,80,53.65,-115.58,30.2,4.7
171,alice springs,63,ZA,1569909253,61,-32.79,26.83,56.93,10.83
172,saldanha,45,PT,1569909253,96,41.42,-6.55,57.29,3.83
173,esperance,17,AU,1569909254,56,-33.86,121.89,69.8,13.87
174,kavieng,100,PG,1569909254,69,-2.57,150.8,84.65,9.13
175,muroto,75,JP,1569909254,78,33.37,134.14,80.6,5.82
176,carutapera,92,BR,1569909255,80,-1.2,-46.02,78.89,7.2
177,raymondville,1,US,1569909255,73,37.34,-91.83,75.2,4.7
178,princeton,90,US,1569908983,87,40.35,-74.66,64.4,4.7
179,felanitx,40,ES,1569909255,93,39.47,3.15,70.0,2.24
180,aljezur,21,PT,1569909256,87,37.31,-8.8,66.0,13.53
181,durango,80,MX,1569909256,92,24.02,-104.67,54.05,9.53
182,coquimbo,0,CL,1569909256,87,-29.95,-71.34,50.0,4.7
183,mehamn,75,NO,1569909257,80,71.03,27.85,42.8,17.22
184,millau,0,FR,1569909257,93,44.1,3.08,50.0,3.36
185,sobolevo,99,RU,1569909257,85,54.43,31.9,52.97,20.13
186,grand-lahou,97,CI,1569909257,99,5.24,-5.0,72.59,1.95
187,stokmarknes,0,NO,1569909258,65,68.56,14.91,46.4,12.75
188,turukhansk,97,RU,1569909258,74,65.8,87.96,35.69,12.86
189,tromso,75,NO,1569909123,65,69.65,18.96,44.6,24.16
190,georgetown,24,GY,1569909022,92,6.8,-58.16,77.81,5.39
191,port alfred,82,CD,1569909259,88,-7.04,29.76,64.31,2.98
192,alofi,99,NU,1569909228,88,-19.06,-169.92,75.2,9.17
193,belluno,75,IT,1569909259,88,46.14,12.22,68.0,4.7
194,dikson,77,RU,1569909095,80,73.51,80.55,30.65,13.76
195,nurota,7,UZ,1569909260,24,40.56,65.69,66.2,13.87
196,caravelas,18,BR,1569909260,85,-17.73,-39.27,71.51,7.18
197,tiksi,100,RU,1569909261,88,71.64,128.87,27.23,25.57
198,mar del plata,55,CN,1569909261,47,29.86,90.73,47.39,7.0
199,trairi,69,BR,1569909262,79,-3.28,-39.27,74.21,7.23
200,san cristobal,83,ML,1569909262,55,13.3,-4.9,79.79,9.98
201,bitung,40,ID,1569909262,46,1.44,125.19,91.4,9.17
202,vardo,90,US,1569909263,88,39.62,-77.74,68.0,10.29
203,carlisle,100,GB,1569909105,100,54.89,-2.94,54.0,18.34
204,lavrentiya,82,RU,1569909263,92,65.58,-170.99,34.25,5.39
205,venice,1,US,1569908984,88,27.1,-82.45,79.0,9.17
206,atar,53,MR,1569909264,19,20.52,-13.05,88.07,4.65
207,maragogi,39,BR,1569909264,89,-9.01,-35.22,70.79,2.08
208,nazca,51,PE,1569909265,84,-14.83,-74.94,57.47,2.35
209,aksu,90,KZ,1569909265,52,52.04,76.93,46.4,4.47
210,ozernovskiy,40,RU,1569909266,79,51.5,156.52,43.43,5.88
211,cockburn town,0,AU,1569909266,10,-32.08,141.0,77.0,6.93
212,torrelavega,75,ES,1569909154,93,43.35,-4.05,66.99,4.7
213,kalaleh,0,IR,1569909266,49,37.38,55.49,75.2,4.7
214,san juan,83,ML,1569909267,55,13.3,-4.9,79.79,9.98
215,lajeado,0,BR,1569909267,64,-29.47,-51.96,77.0,8.01
216,lovington,75,US,1569909268,78,32.94,-103.35,73.0,6.93
217,nola,100,CF,1569909268,98,3.52,16.05,68.81,0.67
218,husavik,100,CA,1569909268,99,50.56,-96.99,37.99,4.0
219,chokurdakh,94,RU,1569909099,80,70.62,147.9,27.23,16.62
220,puqi,0,CN,1569909269,28,29.72,113.88,93.11,5.19
221,sao raimundo nonato,64,IN,1569909231,63,20.51,76.21,82.85,8.25
222,half moon bay,75,LR,1569909270,94,6.38,-10.7,75.2,4.79
223,bathsheba,20,BB,1569909270,74,13.22,-59.52,82.4,11.41
224,lagoa,0,PT,1569909270,77,37.14,-8.45,66.2,4.7
225,matagami,89,NG,1569909270,99,9.67,8.4,68.09,4.88
226,rajgarh,33,IN,1569909271,74,24.01,76.73,81.95,10.8
227,lubbock,75,US,1569909217,77,33.58,-101.86,72.0,4.7
228,kondinskoye,78,RU,1569909271,76,59.65,67.41,41.45,15.86
229,new norfolk,75,LR,1569909272,94,6.65,-10.59,75.2,4.79
230,vesyegonsk,100,RU,1569909272,96,58.67,37.27,52.61,7.58
231,provideniya,90,RU,1569909112,87,64.42,-173.23,42.8,8.95
232,elko,90,US,1569909273,69,40.83,-115.76,41.0,5.82
233,labuhan,89,ID,1569909273,42,-2.54,115.51,93.29,2.06
234,upernavik,19,GL,1569909274,65,72.79,-56.15,37.49,7.34
235,altay,37,CN,1569909197,25,47.83,88.13,36.23,6.08
236,cidreira,0,BR,1569909274,86,-30.17,-50.22,65.57,10.29
237,san patricio,83,ML,1569909275,55,13.3,-4.9,79.79,9.98
238,nirasaki,20,JP,1569909275,34,35.72,138.41,82.0,3.36
239,ponta delgada,67,BR,1569909275,96,-0.53,-65.05,72.77,0.51
240,mogzon,98,RU,1569909276,53,51.74,111.97,41.81,13.49
241,datong,79,CN,1569909276,34,40.09,113.3,75.83,13.78
242,vila franca do campo,75,IT,1569909276,100,45.18,8.4,64.99,5.82
243,athabasca,0,CA,1569909276,95,54.72,-113.29,26.87,5.66
244,iqaluit,90,CA,1569909277,86,63.75,-68.52,37.4,5.82
245,lukang,75,TW,1569909277,55,24.06,120.44,89.01,13.87
246,vestmannaeyjar,100,IS,1569909277,81,63.44,-20.27,47.93,12.77
247,isiro,94,CD,1569909278,93,2.77,27.62,70.43,2.26
248,port lincoln,82,CD,1569909001,88,-7.04,29.76,64.31,2.98
249,yagodnoye,93,RU,1569909278,69,62.52,149.63,22.55,3.22
250,sollies-pont,75,FR,1569909279,93,43.19,6.04,66.0,3.36
251,victoria,75,BN,1569909279,70,5.28,115.24,86.0,8.05
252,palu,88,ID,1569909279,68,-0.9,119.87,83.75,4.16
253,ostend,75,DE,1569909279,82,50.11,8.7,57.0,10.29
254,solnechnyy,53,RU,1569909280,60,50.72,136.64,61.43,8.05
255,fontem,100,CM,1569909280,95,5.49,9.85,72.23,1.16
256,dourbali,39,TD,1569909280,75,11.81,15.86,78.35,8.34
257,cap malheureux,90,FR,1569909281,93,49.27,-1.21,64.4,16.11
258,yaan,98,NG,1569909281,96,7.38,8.57,72.95,3.67
259,chicama,90,PE,1569909281,87,-7.84,-79.15,60.8,9.17
260,valparaiso,1,US,1569909054,88,41.47,-87.06,77.0,5.82
261,galle,79,GN,1569909282,95,10.08,-12.83,71.15,0.22
262,aswan,0,EG,1569909283,38,24.09,32.9,77.0,4.7
263,wukari,100,NG,1569909283,90,7.87,9.78,74.03,3.78
264,maniwaki,100,CA,1569909284,96,46.38,-75.98,42.17,5.35
265,namatanai,29,PG,1569909284,74,-3.66,152.44,81.77,6.53
266,ramganj mandi,75,IN,1569909284,78,26.32,88.29,78.8,3.36
267,praia da vitoria,0,BR,1569909284,68,-20.25,-43.81,68.0,8.05
268,zhigansk,52,RU,1569909285,58,66.77,123.37,30.83,10.8
269,mizdah,0,LY,1569909285,64,31.45,12.98,67.19,1.9
270,itarema,47,BR,1569909285,72,-2.92,-39.92,77.45,9.78
271,santo antonio do ica,100,EC,1569909222,91,-0.59,-80.0,69.53,4.85
272,lazaro cardenas,40,MX,1569909286,61,29.05,-111.04,77.0,3.8
273,santona,75,ES,1569909286,93,43.44,-3.46,66.99,4.7
274,cap-aux-meules,39,CA,1569909287,66,47.38,-61.86,48.47,19.89
275,matanzas,20,CU,1569909287,83,23.05,-81.58,77.0,10.29
276,kahului,40,US,1569909287,69,20.89,-156.47,80.6,10.29
